GKA,Goroka,-6.081689835,145.3919983
MAG,Madang,-5.207079887,145.7890015
HGU,Mount Hagen,-5.826789856,144.2960052
LAE,Nadzab,-6.569803,146.725977
POM,Port Moresby,-9.443380356,147.2200012
WWK,Wewak,-3.583830118,143.6690063
UAK,Narssarssuaq,61.16049957,-45.42599869
GOH,Godthaab,64.19090271,-51.67810059
SFJ,Sondrestrom,67.0122219,-50.71160316
THU,Thule,76.53119659,-68.70320129
AEY,Akureyri,65.66000366,-18.0727005
EGS,Egilsstadir,65.28330231,-14.40139961
HFN,Hofn,64.295601,-15.2272
HZK,Husavik,65.952301,-17.426001
IFJ,Isafjordur,66.05809784,-23.13529968
KEF,Keflavik,63.98500061,-22.60560036
PFJ,Patreksfjordur,65.555801,-23.965
RKV,Reykjavik,64.12999725,-21.94059944
SIJ,Siglufjordur,66.133301,-18.9167
VEY,Vestmannaeyjar,63.42430115,-20.27890015
YAM,Sault Sainte Marie,46.48500061,-84.50939941
YAY,St. Anthony,51.39189911,-56.08309937
YAZ,Tofino,49.079833,-125.775583
YBB,Pelly Bay,68.534401,-89.808098
YBC,Baie Comeau,49.13249969,-68.20439911
YBG,Bagotville,48.33060074,-70.99639893
YBK,Baker Lake,64.29889679,-96.07779694
YBL,Campbell River,49.95080185,-125.2710037
YBR,Brandon,49.91,-99.951897
YCB,Cambridge Bay,69.10810089,-105.1380005
YCD,Nanaimo,49.05497022,-123.8698626
YCG,Castlegar,49.29639816,-117.6320038
YCH,Chatham,47.007801,-65.449203
YCL,Charlo,47.990799,-66.330299
YCO,Coppermine,67.816704,-115.143997
YCT,Coronation,52.07500076,-111.4449997
YCW,Chilliwack,49.15280151,-121.939003
YCY,Clyde River,70.48609924,-68.51670074
YZS,Coral Harbour,64.19329834,-83.35939789
YDA,Dawson,64.04309845,-139.128006
YDB,Burwash,61.37110138,-139.0410004
YDF,Deer Lake,49.21080017,-57.39139938
YDL,Dease Lake,58.42219925,-130.0319977
YDN,Dauphin,51.10079956,-100.052002
YDQ,Dawson Creek,55.74229813,-120.1829987
YEG,Edmonton,53.30970001,-113.5800018
YEK,Eskimo Point,61.09420013,-94.07080078
YEN,Estevan,49.21030045,-102.9660034
YET,Edson,53.57889938,-116.4649963
YEU,Eureka,79.99469757,-85.81420136
YEV,Inuvik,68.30419922,-133.4830017
YFB,Iqaluit,63.756402,-68.555801
YFC,Fredericton,45.8689003,-66.53720093
YFE,Forestville,48.74610138,-69.09719849
YFO,Flin Flon,54.67810059,-101.6819992
YFR,Fort Resolution,61.18080139,-113.6900024
YFS,Fort Simpson,61.7602005,-121.2369995
YGK,Kingston,44.22529984,-76.59690094
YGL,La Grande Riviere,53.62530136,-77.70420074
YGP,Gaspe,48.77529907,-64.47859955
YGQ,Geraldton,49.77830124,-86.93939972
YGR,Iles De La Madeleine,47.42470169,-61.77809906
YHB,Hudson Bay,52.81669998,-102.310997
YHD,Dryden,49.831699,-92.744202
YHI,Holman Island,70.76280212,-117.8059998
YHK,Gjoa Haven,68.63559723,-95.84970093
YHM,Hamilton,43.17359924,-79.93499756
YHU,Montreal,45.51750183,-73.41690063
YHY,Hay River,60.83969879,-115.7829971
YHZ,Halifax,44.88079834,-63.50859833
YIB,Atikokan,48.77389908,-91.63860321
YIO,Pond Inlet,72.6832962,-77.96669769
YJN,St. Jean,45.29439926,-73.28109741
YJT,Stephenville,48.5442009,-58.54999924
YKA,Kamloops,50.70220184,-120.4440002
YKF,Waterloo,43.46080017,-80.37860107
YKL,Schefferville,54.80530167,-66.80529785
YKY,Kindersley,51.51750183,-109.1809998
YKZ,Toronto,43.86220169,-79.37000275
YLD,Chapleau,47.81999969,-83.34670258
YLJ,Meadow Lake,54.12530136,-108.5230026
YLL,Lloydminster,53.30920029,-110.072998
YLT,Alert,82.51779938,-62.2806015
YLW,Kelowna,49.95610046,-119.3779984
YMA,Mayo,63.61640167,-135.8679962
YMJ,Moose Jaw,50.33029938,-105.5589981
YMM,Fort Mcmurray,56.65330124,-111.2220001
YMO,Moosonee,51.29109955,-80.60780334
YMW,Maniwaki,46.27280045,-75.99060059
YMX,Montreal,45.679501,-74.038696
YNA,Natashquan,50.18999863,-61.78919983
YND,Gatineau,45.52170181,-75.56359863
YNM,Matagami,49.76169968,-77.80280304
YOC,Old Crow,67.57060242,-139.8390045
YOD,Cold Lake,54.40499878,-110.2789993
YOJ,High Level,58.62139893,-117.1650009
YOW,Ottawa,45.32249832,-75.66919708
YPA,Prince Albert,53.21419907,-105.6729965
YPE,Peace River,56.226898,-117.446999
YPG,Portage-la-prairie,49.903099,-98.273817
YPL,Pickle Lake,51.44639969,-90.21420288
YPN,Port Menier,49.83639908,-64.28859711
YPQ,Peterborough,44.22999954,-78.36329651
YPR,Prince Pupert,54.28609848,-130.4450073
YPY,Fort Chipewyan,58.76720047,-111.1169968
YQA,Muskoka,44.97470093,-79.30329895
YQB,Quebec,46.7911,-71.393303
YQF,Red Deer Industrial,52.18220139,-113.8939972
YQG,Windsor,42.27560043,-82.95559692
YQH,Watson Lake,60.11640167,-128.8220062
YQK,Kenora,49.78829956,-94.36309814
YQL,Lethbridge,49.63029861,-112.8000031
YQM,Moncton,46.11220169,-64.6785965
YQQ,Comox,49.71080017,-124.887001
YQR,Regina,50.43190002,-104.6660004
YQT,Thunder Bay,48.37189865,-89.32389832
